Mean Score: 126.0, Standard Deviation: 0.0, Minimum: 126, Maximum: 126, Games: 1
Mean Score: 126.0, Standard Deviation: 0.0, Minimum: 126, Maximum: 126, Games: 1
Mean Score: 124.0, Standard Deviation: 0.0, Minimum: 124, Maximum: 124, Games: 1
Mean Score: 126.0, Standard Deviation: 0.0, Minimum: 126, Maximum: 126, Games: 1
Mean Score: 164.0, Standard Deviation: 0.0, Minimum: 164, Maximum: 164, Games: 1
Mean Score: 126.0, Standard Deviation: 0.0, Minimum: 126, Maximum: 126, Games: 1
Mean Score: 126.0, Standard Deviation: 0.0, Minimum: 126, Maximum: 126, Games: 1
Mean Score: 89.0, Standard Deviation: 0.0, Minimum: 89, Maximum: 89, Games: 1
Mean Score: 89.0, Standard Deviation: 0.0, Minimum: 89, Maximum: 89, Games: 1
Mean Score: 89.0, Standard Deviation: 0.0, Minimum: 89, Maximum: 89, Games: 1
Mean Score: 126.0, Standard Deviation: 0.0, Minimum: 126, Maximum: 126, Games: 1
Mean Score: 126.0, Standard Deviation: 0.0, Minimum: 126, Maximum: 126, Games: 1
Mean Score: 111.0, Standard Deviation: 0.0, Minimum: 111, Maximum: 111, Games: 1
Mean Score: 111.0, Standard Deviation: 0.0, Minimum: 111, Maximum: 111, Games: 1
Mean Score: 111.0, Standard Deviation: 0.0, Minimum: 111, Maximum: 111, Games: 1
Mean Score: 111.0, Standard Deviation: 0.0, Minimum: 111, Maximum: 111, Games: 1
Mean Score: 124.0, Standard Deviation: 0.0, Minimum: 124, Maximum: 124, Games: 1
Mean Score: 122.0, Standard Deviation: 0.0, Minimum: 122, Maximum: 122, Games: 1
Mean Score: 102.0, Standard Deviation: 0.0, Minimum: 102, Maximum: 102, Games: 1
Mean Score: 99.0, Standard Deviation: 0.0, Minimum: 99, Maximum: 99, Games: 1
Mean Score: 101.0, Standard Deviation: 0.0, Minimum: 101, Maximum: 101, Games: 1
Mean Score: 101.0, Standard Deviation: 0.0, Minimum: 101, Maximum: 101, Games: 1
Mean Score: 99.0, Standard Deviation: 0.0, Minimum: 99, Maximum: 99, Games: 1
Mean Score: 104.0, Standard Deviation: 0.0, Minimum: 104, Maximum: 104, Games: 1
Mean Score: 102.0, Standard Deviation: 0.0, Minimum: 102, Maximum: 102, Games: 1
Mean Score: 99.0, Standard Deviation: 0.0, Minimum: 99, Maximum: 99, Games: 1
Mean Score: 106.0, Standard Deviation: 0.0, Minimum: 106, Maximum: 106, Games: 1
Mean Score: 99.0, Standard Deviation: 0.0, Minimum: 99, Maximum: 99, Games: 1
Mean Score: 109.0, Standard Deviation: 0.0, Minimum: 109, Maximum: 109, Games: 1
Mean Score: 101.0, Standard Deviation: 0.0, Minimum: 101, Maximum: 101, Games: 1
Mean Score: 101.0, Standard Deviation: 0.0, Minimum: 101, Maximum: 101, Games: 1
Mean Score: 109.0, Standard Deviation: 0.0, Minimum: 109, Maximum: 109, Games: 1
Mean Score: 104.0, Standard Deviation: 0.0, Minimum: 104, Maximum: 104, Games: 1
Mean Score: 99.0, Standard Deviation: 0.0, Minimum: 99, Maximum: 99, Games: 1
Mean Score: 99.0, Standard Deviation: 0.0, Minimum: 99, Maximum: 99, Games: 1
Mean Score: 109.0, Standard Deviation: 0.0, Minimum: 109, Maximum: 109, Games: 1
Mean Score: 102.0, Standard Deviation: 0.0, Minimum: 102, Maximum: 102, Games: 1
Mean Score: 149.0, Standard Deviation: 0.0, Minimum: 149, Maximum: 149, Games: 1
Mean Score: 109.0, Standard Deviation: 0.0, Minimum: 109, Maximum: 109, Games: 1
Mean Score: 126.0, Standard Deviation: 0.0, Minimum: 126, Maximum: 126, Games: 1
Mean Score: 126.0, Standard Deviation: 0.0, Minimum: 126, Maximum: 126, Games: 1
Mean Score: 126.0, Standard Deviation: 0.0, Minimum: 126, Maximum: 126, Games: 1
Mean Score: 126.0, Standard Deviation: 0.0, Minimum: 126, Maximum: 126, Games: 1
Mean Score: 126.0, Standard Deviation: 0.0, Minimum: 126, Maximum: 126, Games: 1
Mean Score: 109.0, Standard Deviation: 0.0, Minimum: 109, Maximum: 109, Games: 1
Mean Score: 164.0, Standard Deviation: 0.0, Minimum: 164, Maximum: 164, Games: 1
Mean Score: 126.0, Standard Deviation: 0.0, Minimum: 126, Maximum: 126, Games: 1
Mean Score: 126.0, Standard Deviation: 0.0, Minimum: 126, Maximum: 126, Games: 1
Mean Score: 126.0, Standard Deviation: 0.0, Minimum: 126, Maximum: 126, Games: 1
Mean Score: 126.0, Standard Deviation: 0.0, Minimum: 126, Maximum: 126, Games: 1
Mean Score: 126.0, Standard Deviation: 0.0, Minimum: 126, Maximum: 126, Games: 1
Mean Score: 127.46, Standard Deviation: 34.42772719771085, Minimum: 59, Maximum: 249, Games: 100
Mean Score: 123.16, Standard Deviation: 34.8630807588773, Minimum: 59, Maximum: 247, Games: 100
Mean Score: 126.0, Standard Deviation: 0.0, Minimum: 126, Maximum: 126, Games: 1
Mean Score: 126.26, Standard Deviation: 35.912009133436136, Minimum: 59, Maximum: 249, Games: 100
Mean Score: 125.71, Standard Deviation: 35.429167362499506, Minimum: 59, Maximum: 249, Games: 100
Mean Score: 114.0257, Standard Deviation: 28.498495390283452, Minimum: 45, Maximum: 280, Games: 10000
Mean Score: 113.8805, Standard Deviation: 28.786643078865602, Minimum: 33, Maximum: 322, Games: 10000
Mean Score: 111.886, Standard Deviation: 27.464533566037463, Minimum: 48, Maximum: 269, Games: 10000
Mean Score: 113.8765, Standard Deviation: 28.77626882954073, Minimum: 35, Maximum: 280, Games: 10000
Mean Score: 114.141, Standard Deviation: 28.681442066255997, Minimum: 53, Maximum: 324, Games: 1000
Mean Score: 110.2, Standard Deviation: 25.949181104612915, Minimum: 66, Maximum: 162, Games: 10
Mean Score: 117.2, Standard Deviation: 28.840249652178816, Minimum: 63, Maximum: 166, Games: 10
Mean Score: 111.1, Standard Deviation: 27.844029880748227, Minimum: 81, Maximum: 172, Games: 10
Mean Score: 112.2, Standard Deviation: 18.05436235373601, Minimum: 91, Maximum: 141, Games: 10
Mean Score: 115.8, Standard Deviation: 27.323250172700906, Minimum: 61, Maximum: 166, Games: 10
Mean Score: 116.6, Standard Deviation: 30.097175947254584, Minimum: 71, Maximum: 166, Games: 10
Mean Score: 111.3, Standard Deviation: 22.759833039809408, Minimum: 83, Maximum: 164, Games: 10
Mean Score: 118.3, Standard Deviation: 29.027745348200916, Minimum: 86, Maximum: 169, Games: 10
Mean Score: 118.4, Standard Deviation: 27.691876065012277, Minimum: 63, Maximum: 166, Games: 10
Mean Score: 112.3, Standard Deviation: 28.32331195323033, Minimum: 76, Maximum: 166, Games: 10
Mean Score: 103.2, Standard Deviation: 19.75753021002372, Minimum: 79, Maximum: 139, Games: 10
